"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C11_14","SMD_0603_CAPC1608X80N","-76.25mm","27mm","-76.25mm","27mm","-76.25mm","26.2mm","T","90.00","470nF"
"C11_13","SMD_0603_CAPC1608X80N","-76.25mm","23mm","-76.25mm","23mm","-76.25mm","23.8mm","T","270.00","470nF"
"C11_12","SMD_0603_CAPC1608X80N","-47mm","17.25mm","-47mm","17.25mm","-46.2mm","17.25mm","T","180.00","470nF"
"C11_11","SMD_0603_CAPC1608X80N","-63mm","31.25mm","-63mm","31.25mm","-63.8mm","31.25mm","T","360.00","470nF"
"C11_10","SMD_0603_CAPC1608X80N","-47mm","57.25mm","-47mm","57.25mm","-46.2mm","57.25mm","T","180.00","470nF"
"C11_9","SMD_0603_CAPC1608X80N","-63mm","72.75mm","-63mm","72.75mm","-63.8mm","72.75mm","T","360.00","470nF"
"C11_8","SMD_0603_CAPC1608X80N","-43mm","74.25mm","-43mm","74.25mm","-43.8mm","74.25mm","T","360.00","470nF"
"C11_7","SMD_0603_CAPC1608X80N","-43mm","54.25mm","-43mm","54.25mm","-43.8mm","54.25mm","T","360.00","470nF"
"C11_6","SMD_0603_CAPC1608X80N","-37.75mm","43mm","-37.75mm","43mm","-37.75mm","43.8mm","T","270.00","470nF"
"C11_5","SMD_0603_CAPC1608X80N","-43mm","12.75mm","-43mm","12.75mm","-43.8mm","12.75mm","T","360.00","470nF"
"C11_4","SMD_0603_CAPC1608X80N","-13.75mm","23mm","-13.75mm","23mm","-13.75mm","23.8mm","T","270.00","470nF"
"C11_3","SMD_0603_CAPC1608X80N","-5mm","35.75mm","-5mm","35.75mm","-4.2mm","35.75mm","T","180.00","470nF"
"C11_2","SMD_0603_CAPC1608X80N","-23mm","52.75mm","-23mm","52.75mm","-23.8mm","52.75mm","T","360.00","470nF"
"C11_1","SMD_0603_CAPC1608X80N","-5.0001mm","70.2499mm","-5.0001mm","70.2499mm","-4.2001mm","70.2499mm","T","180.00","470nF"
"C10_16","SMD_0603_CAPC1608X80N","-67mm","78.75mm","-67mm","78.75mm","-66.2mm","78.75mm","T","180.00","470nF"
"C10_15","SMD_0603_CAPC1608X80N","-84.75mm","59.75mm","-84.75mm","59.75mm","-85.55mm","59.75mm","T","360.00","470nF"
"C10_14","SMD_0603_CAPC1608X80N","-84.75mm","39.75mm","-84.75mm","39.75mm","-85.55mm","39.75mm","T","360.00","470nF"
"C10_13","SMD_0603_CAPC1608X80N","-77.75mm","7mm","-77.75mm","7mm","-77.75mm","6.2mm","T","90.00","470nF"
"C10_12","SMD_0603_CAPC1608X80N","-47mm","18.75mm","-47mm","18.75mm","-46.2mm","18.75mm","T","180.00","470nF"
"C10_11","SMD_0603_CAPC1608X80N","-63mm","32.75mm","-63mm","32.75mm","-63.8mm","32.75mm","T","360.00","470nF"
"C10_10","SMD_0603_CAPC1608X80N","-47mm","58.75mm","-47mm","58.75mm","-46.2mm","58.75mm","T","180.00","470nF"
"C10_9","SMD_0603_CAPC1608X80N","-63mm","71.25mm","-63mm","71.25mm","-63.8mm","71.25mm","T","360.00","470nF"
"C10_8","SMD_0603_CAPC1608X80N","-43mm","72.75mm","-43mm","72.75mm","-43.8mm","72.75mm","T","360.00","470nF"
"C10_7","SMD_0603_CAPC1608X80N","-43mm","52.75mm","-43mm","52.75mm","-43.8mm","52.75mm","T","360.00","470nF"
"C10_6","SMD_0603_CAPC1608X80N","-43mm","31.25mm","-43mm","31.25mm","-43.8mm","31.25mm","T","360.00","470nF"
"C10_5","SMD_0603_CAPC1608X80N","-43mm","11.25mm","-43mm","11.25mm","-43.8mm","11.25mm","T","360.00","470nF"
"C10_4","SMD_0603_CAPC1608X80N","-23mm","11.25mm","-23mm","11.25mm","-23.8mm","11.25mm","T","360.00","470nF"
"C10_3","SMD_0603_CAPC1608X80N","-13.75mm","27mm","-13.75mm","27mm","-13.75mm","26.2mm","T","90.00","470nF"
"C10_2","SMD_0603_CAPC1608X80N","-23mm","51.25mm","-23mm","51.25mm","-23.8mm","51.25mm","T","360.00","470nF"
"C10_1","SMD_0603_CAPC1608X80N","-23mm","71.25mm","-23mm","71.25mm","-23.8mm","71.25mm","T","360.00","470nF"
"C9_16","SMD_0603_CAPC1608X80N","-67mm","77.25mm","-67mm","77.25mm","-66.2mm","77.25mm","T","180.00","470nF"
"C9_15","SMD_0603_CAPC1608X80N","-67mm","54.25mm","-67mm","54.25mm","-66.2mm","54.25mm","T","180.00","470nF"
"C9_14","SMD_0603_CAPC1608X80N","-84.75mm","34.25mm","-84.75mm","34.25mm","-85.55mm","34.25mm","T","360.00","470nF"
"C9_13","SMD_0603_CAPC1608X80N","-67mm","11.25mm","-67mm","11.25mm","-66.2mm","11.25mm","T","180.00","470nF"
"C9_12","SMD_0603_CAPC1608X80N","-63mm","18.75mm","-63mm","18.75mm","-63.8mm","18.75mm","T","360.00","470nF"
"C9_11","SMD_0603_CAPC1608X80N","-53.75mm","27mm","-53.75mm","27mm","-53.75mm","26.2mm","T","90.00","470nF"
"C9_10","SMD_0603_CAPC1608X80N","-52.25mm","63mm","-52.25mm","63mm","-52.25mm","63.8mm","T","270.00","470nF"
"C9_9","SMD_0603_CAPC1608X80N","-47mm","71.25mm","-47mm","71.25mm","-46.2mm","71.25mm","T","180.00","470nF"
"C9_8","SMD_0603_CAPC1608X80N","-27mm","77.25mm","-27mm","77.25mm","-26.2mm","77.25mm","T","180.00","470nF"
"C9_7","SMD_0603_CAPC1608X80N","-27mm","51.25mm","-27mm","51.25mm","-26.2mm","51.25mm","T","180.00","470nF"
"C9_6","SMD_0603_CAPC1608X80N","-27mm","31.25mm","-27mm","31.25mm","-26.2mm","31.25mm","T","180.00","470nF"
"C9_5","SMD_0603_CAPC1608X80N","-27mm","11.25mm","-27mm","11.25mm","-26.2mm","11.25mm","T","180.00","470nF"
"C9_4","SMD_0603_CAPC1608X80N","-5mm","11.75mm","-5mm","11.75mm","-4.2mm","11.75mm","T","180.00","470nF"
"C9_3","SMD_0603_CAPC1608X80N","-12.25mm","27mm","-12.25mm","27mm","-12.25mm","26.2mm","T","90.00","470nF"
"C9_2","SMD_0603_CAPC1608X80N","-5mm","51.75mm","-5mm","51.75mm","-4.2mm","51.75mm","T","180.00","470nF"
"C9_1","SMD_0603_CAPC1608X80N","-23mm","72.75mm","-23mm","72.75mm","-23.8mm","72.75mm","T","360.00","470nF"
